State,County,Violent,Murder,"Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
ALABAMA,Randolph,35,0,2,0,33,425,181,212,32,
ALABAMA,Sumter,20,1,0,0,19,74,37,32,5,
ALABAMA,Talladega,71,1,3,10,57,839,286,484,69,
ALABAMA,Tallapoosa,24,1,2,1,20,171,82,82,7,
ALABAMA,Washington,45,2,3,2,38,154,51,88,15,
ALABAMA,Wilcox,10,0,0,1,9,45,19,21,5,
ALABAMA,Winston,57,1,4,2,50,317,110,178,29,
ARIZONA,Cochise,338,2,8,16,312,847,298,492,57,17
ARIZONA,Coconino,75,2,7,2,64,501,177,306,18,24
ARIZONA,Mohave,125,5,12,16,92,2288,790,1343,155,10
ARIZONA,Pima,661,13,94,160,394,11662,2771,8054,837,88
ARIZONA,Pinal2     ,173,5,29,15,124,,687,2440,,12
ARIZONA,Yavapai,252,3,23,9,217,1315,456,749,110,11
ARIZONA,Yuma,138,2,8,10,118,837,362,404,71,10
ARIZONA,Apache,55,0,2,3,50,204,99,99,6,41
ARIZONA,Gila,65,0,4,4,57,383,77,275,31,8
ARIZONA,Graham3   ,,1,0,0,,218,80,120,18,7
ARIZONA,Greenlee,50,1,3,1,45,96,25,68,3,0
ARIZONA,La Paz,52,0,0,0,52,418,100,279,39,0
ARIZONA,Navajo,72,0,5,2,65,582,325,217,40,4
ARIZONA,Santa Cruz,8,0,0,3,5,255,116,114,25,0
ARKANSAS,Benton,169,0,30,3,136,576,265,282,29,5
ARKANSAS,Cleveland,5,0,0,0,5,94,48,38,8,0
ARKANSAS,Craighead,9,0,3,0,6,293,135,154,4,3
ARKANSAS,Crawford,100,0,5,0,95,396,122,247,27,0
ARKANSAS,Crittenden,142,2,2,17,121,470,184,258,28,2
ARKANSAS,Grant,38,0,2,2,34,219,81,118,20,4
ARKANSAS,Jefferson,71,0,10,4,57,485,220,200,65,4
ARKANSAS,Lincoln,11,0,2,2,7,112,63,45,4,0
ARKANSAS,Madison,47,0,9,0,38,131,47,77,7,3
ARKANSAS,Miller,21,0,6,0,15,220,51,140,29,4
ARKANSAS,Poinsett,14,0,10,0,4,15,9,3,3,1
ARKANSAS,Pulaski,311,5,8,19,279,2068,809,1057,202,23
ARKANSAS,Sebastian,56,1,6,2,47,340,148,178,14,2
ARKANSAS,Washington,187,4,14,0,169,610,220,344,46,6
ARKANSAS,Arkansas,9,0,0,0,9,98,19,70,9,0
ARKANSAS,Ashley,16,1,2,1,12,198,67,115,16,4
ARKANSAS,Baxter,35,3,5,3,24,626,172,421,33,1
ARKANSAS,Boone,73,0,10,2,61,420,135,242,43,3
ARKANSAS,Carroll,18,1,1,0,16,247,51,161,35,1
ARKANSAS,Chicot,2,0,0,0,2,87,24,63,0,0
ARKANSAS,Clark,16,0,2,0,14,139,44,89,6,0
ARKANSAS,Clay,7,0,2,0,5,69,30,38,1,2
ARKANSAS,Cleburne,43,0,7,3,33,532,200,294,38,8
ARKANSAS,Columbia,17,0,0,0,17,101,34,58,9,0
ARKANSAS,Conway,26,0,3,0,23,274,72,173,29,10
ARKANSAS,Cross,37,0,3,0,34,50,20,28,2,3
ARKANSAS,Dallas,2,0,1,0,1,26,8,18,0,0
ARKANSAS,Drew,30,1,5,1,23,126,33,78,15,2
ARKANSAS,Franklin,34,2,1,0,31,208,44,144,20,3
ARKANSAS,Fulton,15,0,2,1,12,125,7,108,10,1
ARKANSAS,Greene,19,0,5,1,13,236,87,142,7,1
ARKANSAS,Hempstead,49,1,5,0,43,316,101,193,22,2
ARKANSAS,Howard,15,0,3,0,12,79,28,51,0,0
ARKANSAS,Independence,207,0,21,16,170,1537,598,818,121,25
ARKANSAS,Izard,24,0,7,1,16,324,132,179,13,5
ARKANSAS,Jackson,33,0,5,1,27,198,55,118,25,4
ARKANSAS,Johnson,33,2,5,1,25,182,136,38,8,3
ARKANSAS,Logan,29,0,9,0,20,230,90,117,23,1
ARKANSAS,Marion,44,0,4,0,40,209,91,112,6,1
ARKANSAS,Mississippi,18,0,1,2,15,397,96,252,49,0
