rank,City,State,population,Location
71,Henderson,Nevada,"265,679","36.0122,115.0375"
,,,,
72,Lincoln,Nebraska,"265,404","40.8090,96.6804"
,,,,
73,Buffalo,New York,"259,384","42.8925,78.8597"
,,,,
74,Fort Wayne,Indiana,"254,555","41.0882,85.1439"
,,,,
75,Jersey City,New Jersey,"254,441","40.7114,74.0648"
,,,,
76,Chula Vista,California,"252,422","32.6277,117.0152"
,,,,
77,Orlando,Florida,"249,562","28.4159,81.2988"
,,,,
78,St. Petersburg,Florida,"246,541","27.7620,82.6441"
,,,,
79,Norfolk,Virginia,"245,782","36.9230,76.2446"
,,,,
80,Chandler,Arizona,"245,628","33.2829,111.8549"
,,,,
81,Laredo,Texas,"244,731","27.5477,99.4869"
,,,,
82,Madison,Wisconsin,"240,323","43.0878,89.4301"
,,,,
83,Durham,North Carolina,"239,358","35.9810,78.9056"
,,,,
84,Lubbock,Texas,"236,065","33.5665,101.8867"
,,,,
85,Winston_Salem,North Carolina,"234,349","36.1033,80.2606"
,,,,
86,Garland,Texas,"233,564","32.9098,96.6304"
,,,,
87,Glendale,Arizona,"232,143","33.5331,112.1899"
,,,,
88,Hialeah,Florida,"231,941","25.8699,80.3029"
,,,,
89,Reno,Nevada,"231,027","39.4745,119.7765"
,,,,
90,Baton Rouge,Louisiana,"230,058","30.4485,91.1259"
,,,,
91,Irvine,California,"229,985","33.6784,117.7713"
,,,,
92,Chesapeake,Virginia,"228,417","36.6794,76.3018"
,,,,
93,Irving,Texas,"225,427","32.8577,96.9700"
,,,,
94,Scottsdale,Arizona,"223,514","33.6687,111.8237"
,,,,
95,North Las Vegas,Nevada,"223,491","36.2830,115.0893"
,,,,
96,Fremont,California,"221,986","37.4944,121.9411"
,,,,
97,Gilbert,Arizona,"221,140","33.3102,111.7422"
,,,,
98,San Bernardino,California,"213,295","34.1393,117.2953"
,,,,
99,Boise,Idaho,"212,303","43.5985,116.2311"
,,,,
100,Birmingham,Alabama,"212,038","33.5274,86.7990"
,,,,
101,Rochester,New York,"210,532","43.1699,77.6169"
,,,,
102,Richmond,Virginia,"210,309","37.5314,77.4760"
,,,,
103,Spokane,Washington,"209,525","47.6736,117.4166"
,,,,
104,Des Moines,Iowa,"206,688","41.5739,93.6167"
,,,,
105,Montgomery,Alabama,"205,293","32.3463,86.2686"
,,,,
106,Modesto,California,"203,547","37.6609,120.9891"
,,,,
107,Fayetteville,North Carolina,"202,103","35.0851,78.9803"
,,,,
