2012 rank,City,State[5],2012 estimate,2010 Census,Change,2010 land area,2010 population density,ANSI,Location
121,Huntington Beach,California,"194,708","189,992",2.48%,26.748æsqæmi,"7,103æperæsqæmi",2410811,"33.6906,118.0093"
,,,,,,69.278ækm2,"2,742ækm-2",,
122,Glendale,California,"194,478","191,719",1.44%,30.453æsqæmi,"6,295æperæsqæmi",2410597,"34.1814,118.2458"
,,,,,,78.874ækm2,"2,431ækm-2",,
123,Grand Rapids,Michigan,"190,411","188,040",1.26%,44.395æsqæmi,"4,236æperæsqæmi",1626373,"42.9612,85.6556"
,,,,,,114.984ækm2,"1,635ækm-2",,
124,Salt Lake City,Utah,"189,314","186,440",1.54%,111.110æsqæmi,"1,678æperæsqæmi",2411771,"40.7785,111.9314"
,,,,,,287.773ækm2,648ækm-2,,
125,Tallahassee,Florida,"186,971","181,376",3.08%,100.247æsqæmi,"1,809æperæsqæmi",2405563,"30.4551,84.2534"
,,,,,,259.638ækm2,699ækm-2,,
126,Huntsville,Alabama,"183,739","180,105",2.02%,209.054æsqæmi,862æperæsqæmi,2404746,"34.7843,86.5390"
,,,,,,541.447ækm2,333ækm-2,,
127,Worcester,Massachusetts,"182,669","181,045",0.90%,37.371æsqæmi,"4,845æperæsqæmi",619493,"42.2695,71.8078"
,,,,,,96.790ækm2,"1,870ækm-2",,
128,Knoxville,Tennessee,"182,200","178,874",1.86%,98.521æsqæmi,"1,816æperæsqæmi",2404842,"35.9709,83.9465"
,,,,,,255.167ækm2,701ækm-2,,
129,Grand Prairie,Texas,"181,824","175,396",3.66%,72.105æsqæmi,"2,433æperæsqæmi",2410632,"32.6842,97.0210"
,,,,,,186.750ækm2,939ækm-2,,
130,Newport News[15],Virginia,"180,726","180,719",0.00%,68.714æsqæmi,"2,630æperæsqæmi",1498555,"37.0760,76.5217"
,,,,,,177.968ækm2,"1,015ækm-2",,
131,Brownsville,Texas,"180,097","175,023",2.90%,132.330æsqæmi,"1,323æperæsqæmi",2409924,"26.0183,97.4538"
,,,,,,342.734ækm2,511ækm-2,,
132,Santa Clarita,California,"179,013","176,320",1.53%,52.716æsqæmi,"3,345æperæsqæmi",2411819,"34.4049,118.5047"
,,,,,,136.535ækm2,"1,291ækm-2",,
133,Overland Park,Kansas,"178,919","173,372",3.20%,74.841æsqæmi,"2,317æperæsqæmi",485639,"38.8890,94.6906"
,,,,,,193.839ækm2,894ækm-2,,
134,Providence,Rhode Island,"178,432","178,042",0.22%,18.400æsqæmi,"9,676æperæsqæmi",1220076,"41.8231,71.4188"
,,,,,,47.656ækm2,"3,736ækm-2",,
135,Jackson,Mississippi,"175,437","173,514",1.11%,111.046æsqæmi,"1,563æperæsqæmi",2404779,"32.3158,90.2128"
,,,,,,287.608ækm2,603ækm-2,,
136,Garden Grove,California,"174,389","170,883",2.05%,17.941æsqæmi,"9,525æperæsqæmi",2410568,"33.7788,117.9605"
,,,,,,46.467ækm2,"3,677ækm-2",,
137,Oceanside,California,"171,293","167,086",2.52%,41.235æsqæmi,"4,052æperæsqæmi",2411301,"33.2246,117.3062"
,,,,,,106.798ækm2,"1,565ækm-2",,
138,Chattanooga,Tennessee,"171,279","167,674",2.15%,137.152æsqæmi,"1,223æperæsqæmi",2404035,"35.0665,85.2471"
,,,,,,355.222ækm2,472ækm-2,,
139,Fort Lauderdale,Florida,"170,747","165,521",3.16%,34.765æsqæmi,"4,761æperæsqæmi",2403640,"26.1413,80.1439"
,,,,,,90.042ækm2,"1,838ækm-2",,
